Chromosome	Start	End	Gene	Strand	Gene.id	Gene.Type	Gene.Status	entrez_id
ENSG00000109625.14	4	8594387	8621488	CPZ	+	ENSG00000109625.14	protein_coding	KNOWN	8532
ENSG00000215612.5	4	8847802	8873543	HMX1	-	ENSG00000215612.5	protein_coding	KNOWN	3166
ENSG00000229924.2	4	9172135	9178453	FAM90A26	+	ENSG00000229924.2	protein_coding	KNOWN	NA
ENSG00000232399.2	4	9226622	9228214	USP17L13	+	ENSG00000232399.2	protein_coding	KNOWN	100287238
ENSG00000231396.1	4	9212577	9213975	USP17L10	+	ENSG00000231396.1	protein_coding	KNOWN	100287144
ENSG00000233136.1	4	9217131	9218723	USP17L11	+	ENSG00000233136.1	protein_coding	KNOWN	100287178
ENSG00000227551.1	4	9221878	9223470	USP17L12	+	ENSG00000227551.1	protein_coding	KNOWN	100287205
ENSG00000223569.1	4	9236111	9237700	USP17L15	+	ENSG00000223569.1	protein_coding	KNOWN	100288520
ENSG00000249104.1	4	9245605	9247197	USP17L17	+	ENSG00000249104.1	protein_coding	KNOWN	100287327
ENSG00000250844.1	4	9250356	9251948	USP17L18	+	ENSG00000250844.1	protein_coding	KNOWN	100287364
ENSG00000248920.1	4	9255104	9256696	USP17L19	+	ENSG00000248920.1	protein_coding	KNOWN	100287404
ENSG00000250745.1	4	9259850	9261442	USP17L20	+	ENSG00000250745.1	protein_coding	KNOWN	100287441
ENSG00000249811.1	4	9264598	9266190	USP17L21	+	ENSG00000249811.1	protein_coding	KNOWN	100287478
ENSG00000248933.1	4	9269345	9270937	USP17L22	+	ENSG00000248933.1	protein_coding	KNOWN	100287513
ENSG00000250913.2	4	9274090	9274640	USP17L23	+	ENSG00000250913.2	protein_coding	KNOWN	NA
ENSG00000219492.4	4	9385743	9390709	RP11-1396O13.13	-	ENSG00000219492.4	protein_coding	NOVEL	NA
ENSG00000109667.7	4	9772777	10056560	SLC2A9	-	ENSG00000109667.7	protein_coding	KNOWN	56606
ENSG00000169676.4	4	9783258	9785632	DRD5	+	ENSG00000169676.4	protein_coding	KNOWN	1816
ENSG00000071127.12	4	10075963	10118573	WDR1	-	ENSG00000071127.12	protein_coding	KNOWN	9948
ENSG00000178163.3	4	10441498	10459032	ZNF518B	-	ENSG00000178163.3	protein_coding	KNOWN	85460
ENSG00000109684.10	4	10488019	10686489	CLNK	-	ENSG00000109684.10	protein_coding	KNOWN	116449
ENSG00000002587.5	4	11394774	11431389	HS3ST1	-	ENSG00000002587.5	protein_coding	KNOWN	9957
ENSG00000157869.10	4	13362978	13485989	RAB28	-	ENSG00000157869.10	protein_coding	KNOWN	9364
ENSG00000109705.7	4	13542454	13546674	NKX3-2	-	ENSG00000109705.7	protein_coding	KNOWN	579
ENSG00000038219.8	4	13570362	13629347	BOD1L1	-	ENSG00000038219.8	protein_coding	KNOWN	259282
ENSG00000137449.11	4	15004298	15071777	CPEB2	+	ENSG00000137449.11	protein_coding	KNOWN	132864
ENSG00000163145.8	4	15341442	15447790	C1QTNF7	+	ENSG00000163145.8	protein_coding	KNOWN	114905
ENSG00000048342.11	4	15471489	15603180	CC2D2A	+	ENSG00000048342.11	protein_coding	KNOWN	57545
ENSG00000118564.10	4	15606162	15683284	FBXL5	-	ENSG00000118564.10	protein_coding	KNOWN	26234
ENSG00000237765.2	4	15683303	15692070	FAM200B	+	ENSG00000237765.2	protein_coding	KNOWN	285550
ENSG00000109743.6	4	15704573	15739936	BST1	+	ENSG00000109743.6	protein_coding	KNOWN	683
ENSG00000004468.8	4	15779898	15854853	CD38	+	ENSG00000004468.8	protein_coding	KNOWN	952
ENSG00000137440.3	4	15937192	15940363	FGFBP1	-	ENSG00000137440.3	protein_coding	KNOWN	9982
ENSG00000137441.7	4	15961866	15964859	FGFBP2	-	ENSG00000137441.7	protein_coding	KNOWN	83888
ENSG00000007062.7	4	15965871	16086001	PROM1	-	ENSG00000007062.7	protein_coding	KNOWN	8842
ENSG00000169762.12	4	16162128	16228164	TAPT1	-	ENSG00000169762.12	protein_coding	KNOWN	202018
ENSG00000169744.8	4	16503164	16900432	LDB2	-	ENSG00000169744.8	protein_coding	KNOWN	9079
ENSG00000151552.7	4	17461884	17513857	QDPR	-	ENSG00000151552.7	protein_coding	KNOWN	5860
ENSG00000249581.2	4	17516788	17528727	CLRN2	+	ENSG00000249581.2	protein_coding	KNOWN	645104
ENSG00000002549.8	4	17578815	17609595	LAP3	+	ENSG00000002549.8	protein_coding	KNOWN	51056
ENSG00000118579.7	4	17616254	17635728	MED28	+	ENSG00000118579.7	protein_coding	KNOWN	80306
ENSG00000047662.4	4	17636632	17783135	FAM184B	-	ENSG00000047662.4	protein_coding	KNOWN	27146
ENSG00000163257.6	4	17802278	17812381	DCAF16	-	ENSG00000163257.6	protein_coding	KNOWN	54876
ENSG00000109805.5	4	17812525	17842316	NCAPG	+	ENSG00000109805.5	protein_coding	KNOWN	64151
ENSG00000178177.10	4	17842822	18023499	LCORL	-	ENSG00000178177.10	protein_coding	KNOWN	254251
ENSG00000145147.15	4	20254883	20622184	SLIT2	+	ENSG00000145147.15	protein_coding	KNOWN	9353
ENSG00000163138.14	4	20697905	20754530	PACRGL	+	ENSG00000163138.14	protein_coding	KNOWN	133015
ENSG00000185774.10	4	20730239	21950422	KCNIP4	-	ENSG00000185774.10	protein_coding	KNOWN	80333
ENSG00000152990.9	4	22346694	22517677	GPR125	-	ENSG00000152990.9	protein_coding	KNOWN	166647
ENSG00000109819.4	4	23756664	23900941	PPARGC1A	-	ENSG00000109819.4	protein_coding	KNOWN	10891
ENSG00000109606.8	4	24519064	24586173	DHX15	-	ENSG00000109606.8	protein_coding	KNOWN	1665
ENSG00000109610.5	4	24791534	24802464	SOD3	+	ENSG00000109610.5	protein_coding	KNOWN	6649
ENSG00000181982.13	4	24807739	24981770	CCDC149	-	ENSG00000181982.13	protein_coding	KNOWN	91050
ENSG00000153012.7	4	25000469	25032501	LGI2	-	ENSG00000153012.7	protein_coding	KNOWN	55203
ENSG00000109618.7	4	25121627	25162204	SEPSECS	-	ENSG00000109618.7	protein_coding	KNOWN	51091
ENSG00000038210.9	4	25162263	25280714	PI4K2B	+	ENSG00000038210.9	protein_coding	KNOWN	55300
ENSG00000168228.10	4	25314407	25372005	ZCCHC4	+	ENSG00000168228.10	protein_coding	KNOWN	29063
ENSG00000053900.6	4	25378835	25420120	ANAPC4	+	ENSG00000053900.6	protein_coding	KNOWN	29945
ENSG00000157765.7	4	25656923	25680370	SLC34A2	+	ENSG00000157765.7	protein_coding	KNOWN	10568
ENSG00000091490.6	4	25749055	25865382	SEL1L3	-	ENSG00000091490.6	protein_coding	KNOWN	23231
ENSG00000250317.4	4	25863452	25931435	SMIM20	+	ENSG00000250317.4	protein_coding	KNOWN	389203
ENSG00000168214.16	4	26165077	26436541	RBPJ	+	ENSG00000168214.16	protein_coding	KNOWN	3516
ENSG00000163394.5	4	26483022	26492084	CCKAR	-	ENSG00000163394.5	protein_coding	KNOWN	886
ENSG00000109680.6	4	26578059	26756973	TBC1D19	+	ENSG00000109680.6	protein_coding	KNOWN	55296
ENSG00000109689.10	4	26859300	27027003	STIM2	+	ENSG00000109689.10	protein_coding	KNOWN	57620
ENSG00000250038.1	4	28363901	28404486	RP11-180C1.1	-	ENSG00000250038.1	protein_coding	PUTATIVE	NA
ENSG00000169851.11	4	30722037	31148422	PCDH7	+	ENSG00000169851.11	protein_coding	KNOWN	5099
ENSG00000047365.7	4	35949843	36246131	ARAP2	-	ENSG00000047365.7	protein_coding	KNOWN	116984
ENSG00000197057.4	4	36283244	36347378	DTHD1	+	ENSG00000197057.4	protein_coding	KNOWN	401124
ENSG00000174145.7	4	37245842	37451087	KIAA1239	+	ENSG00000174145.7	protein_coding	KNOWN	57495
ENSG00000154274.10	4	37455563	37625117	C4orf19	+	ENSG00000154274.10	protein_coding	KNOWN	55286
ENSG00000181826.5	4	37614523	37687998	RELL1	-	ENSG00000181826.5	protein_coding	KNOWN	768211
ENSG00000169299.9	4	37828255	37864558	PGM2	+	ENSG00000169299.9	protein_coding	KNOWN	55276
ENSG00000065882.11	4	37892708	38140796	TBC1D1	+	ENSG00000065882.11	protein_coding	KNOWN	23216
ENSG00000250254.1	4	37962590	37962746	PTTG2	+	ENSG00000250254.1	protein_coding	KNOWN	10744
ENSG00000196355.2	4	38628029	38629659	AC021860.1	-	ENSG00000196355.2	protein_coding	KNOWN	NA
ENSG00000109787.8	4	38682208	38702663	KLF3	+	ENSG00000109787.8	protein_coding	KNOWN	51274
ENSG00000174123.6	4	38773860	38784611	TLR10	-	ENSG00000174123.6	protein_coding	KNOWN	81793
ENSG00000174125.3	4	38792298	38807199	TLR1	-	ENSG00000174125.3	protein_coding	KNOWN	7096
ENSG00000174130.8	4	38825336	38845412	TLR6	-	ENSG00000174130.8	protein_coding	KNOWN	10333
ENSG00000197712.7	4	38869298	38947360	FAM114A1	+	ENSG00000197712.7	protein_coding	KNOWN	92689
ENSG00000121895.7	4	38968365	39034542	TMEM156	-	ENSG00000121895.7	protein_coding	KNOWN	80008
ENSG00000109790.12	4	39046659	39128477	KLHL5	+	ENSG00000109790.12	protein_coding	KNOWN	51088
ENSG00000157796.13	4	39184024	39287430	WDR19	+	ENSG00000157796.13	protein_coding	KNOWN	57728
ENSG00000035928.10	4	39289076	39367995	RFC1	-	ENSG00000035928.10	protein_coding	KNOWN	5981
ENSG00000134962.6	4	39408473	39453156	KLB	+	ENSG00000134962.6	protein_coding	KNOWN	152831
ENSG00000163682.11	4	39455744	39460568	RPL9	-	ENSG00000163682.11	protein_coding	KNOWN	6133
ENSG00000121897.9	4	39460620	39479273	LIAS	+	ENSG00000121897.9	protein_coding	KNOWN	11019
ENSG00000109814.7	4	39500375	39529638	UGDH	-	ENSG00000109814.7	protein_coding	KNOWN	7358
ENSG00000163683.7	4	39547950	39640710	SMIM14	-	ENSG00000163683.7	protein_coding	KNOWN	201895
ENSG00000078140.9	4	39699664	39784412	UBE2K	+	ENSG00000078140.9	protein_coding	KNOWN	3093
ENSG00000121892.10	4	39824483	39979576	PDS5A	-	ENSG00000121892.10	protein_coding	KNOWN	23244
ENSG00000078177.9	4	40058446	40159872	N4BP2	+	ENSG00000078177.9	protein_coding	KNOWN	55728
ENSG00000168421.8	4	40192673	40248587	RHOH	+	ENSG00000168421.8	protein_coding	KNOWN	399
ENSG00000174343.5	4	40337346	40357234	CHRNA9	+	ENSG00000174343.5	protein_coding	KNOWN	55584
ENSG00000163694.10	4	40425272	40632892	RBM47	-	ENSG00000163694.10	protein_coding	KNOWN	54502
ENSG00000179299.12	4	40751914	40812002	NSUN7	+	ENSG00000179299.12	protein_coding	KNOWN	79730
ENSG00000163697.12	4	40812044	41218731	APBB2	-	ENSG00000163697.12	protein_coding	KNOWN	323
ENSG00000154277.8	4	41258430	41270472	UCHL1	+	ENSG00000154277.8	protein_coding	KNOWN	7345
ENSG00000064042.13	4	41361624	41702061	LIMCH1	+	ENSG00000064042.13	protein_coding	KNOWN	22998
ENSG00000109132.5	4	41746099	41750987	PHOX2B	-	ENSG00000109132.5	protein_coding	KNOWN	8929
ENSG00000109133.8	4	41937137	41962589	TMEM33	+	ENSG00000109133.8	protein_coding	KNOWN	55161
ENSG00000182308.5	4	41983713	41988476	DCAF4L1	+	ENSG00000182308.5	protein_coding	KNOWN	285429
ENSG00000014824.9	4	41992489	42092474	SLC30A9	+	ENSG00000014824.9	protein_coding	KNOWN	10463
ENSG00000188848.11	4	42112955	42154895	BEND4	-	ENSG00000188848.11	protein_coding	KNOWN	389206
ENSG00000178343.4	4	42399856	42404504	SHISA3	+	ENSG00000178343.4	protein_coding	KNOWN	152573
ENSG00000124406.12	4	42410390	42659122	ATP8A1	-	ENSG00000124406.12	protein_coding	KNOWN	10396
ENSG00000215203.2	4	42895284	43032675	GRXCR1	+	ENSG00000215203.2	protein_coding	KNOWN	389207
ENSG00000183783.6	4	44175926	44450824	KCTD8	-	ENSG00000183783.6	protein_coding	KNOWN	386617
ENSG00000177752.10	4	44624086	44680443	YIPF7	-	ENSG00000177752.10	protein_coding	KNOWN	285525
ENSG00000151806.9	4	44680574	44702943	GUF1	+	ENSG00000151806.9	protein_coding	KNOWN	60558
ENSG00000163281.7	4	44684217	44728612	GNPDA2	-	ENSG00000163281.7	protein_coding	KNOWN	132789
ENSG00000163285.7	4	46037786	46126098	GABRG1	-	ENSG00000163285.7	protein_coding	KNOWN	2565
ENSG00000151834.11	4	46250444	46477247	GABRA2	-	ENSG00000151834.11	protein_coding	KNOWN	2555
ENSG00000170516.12	4	46736844	46911252	COX7B2	-	ENSG00000170516.12	protein_coding	KNOWN	170712
ENSG00000109158.6	4	46920917	46996424	GABRA4	-	ENSG00000109158.6	protein_coding	KNOWN	2557
ENSG00000163288.9	4	47033377	47428461	GABRB1	+	ENSG00000163288.9	protein_coding	KNOWN	2560
ENSG00000169019.9	4	47452885	47465736	COMMD8	-	ENSG00000169019.9	protein_coding	KNOWN	54951
ENSG00000145246.9	4	47487305	47595503	ATP10D	+	ENSG00000145246.9	protein_coding	KNOWN	57205
ENSG00000145244.7	4	47596015	47840123	CORIN	-	ENSG00000145244.7	protein_coding	KNOWN	10699
ENSG00000170448.7	4	47849257	47916158	NFXL1	-	ENSG00000170448.7	protein_coding	KNOWN	152518
ENSG00000163293.7	4	47916223	48042188	NIPAL1	+	ENSG00000163293.7	protein_coding	KNOWN	152519
ENSG00000198515.9	4	47937994	48018689	CNGA1	-	ENSG00000198515.9	protein_coding	KNOWN	1259
ENSG00000074966.6	4	48068410	48136273	TXK	-	ENSG00000074966.6	protein_coding	KNOWN	7294
ENSG00000135605.8	4	48137800	48271881	TEC	-	ENSG00000135605.8	protein_coding	KNOWN	7006
ENSG00000109171.10	4	48343339	48428229	SLAIN2	+	ENSG00000109171.10	protein_coding	KNOWN	57606
ENSG00000145248.6	4	48485360	48491213	SLC10A4	+	ENSG00000145248.6	protein_coding	KNOWN	201780
ENSG00000182223.7	4	48492269	48496406	ZAR1	+	ENSG00000182223.7	protein_coding	KNOWN	326340
ENSG00000075539.9	4	48499378	48782339	FRYL	-	ENSG00000075539.9	protein_coding	KNOWN	285527
ENSG00000109180.10	4	48807229	48863834	OCIAD1	+	ENSG00000109180.10	protein_coding	KNOWN	54940
ENSG00000145247.7	4	48887036	48908954	OCIAD2	-	ENSG00000145247.7	protein_coding	KNOWN	132299
ENSG00000109182.7	4	48988264	49064098	CWH43	+	ENSG00000109182.7	protein_coding	KNOWN	80157
ENSG00000109184.10	4	52709166	52783003	DCUN1D4	+	ENSG00000109184.10	protein_coding	KNOWN	23142
ENSG00000188993.3	4	52859868	52883786	LRRC66	-	ENSG00000188993.3	protein_coding	KNOWN	339977
ENSG00000163069.8	4	52886872	52904648	SGCB	-	ENSG00000163069.8	protein_coding	KNOWN	6443
ENSG00000163071.6	4	52917497	52963458	SPATA18	+	ENSG00000163071.6	protein_coding	KNOWN	132671
ENSG00000109189.8	4	53457138	53525502	USP46	-	ENSG00000109189.8	protein_coding	KNOWN	64854
ENSG00000226887.3	4	53588785	53617807	ERVMER34-1	-	ENSG00000226887.3	protein_coding	KNOWN	100288413
ENSG00000128045.5	4	53728457	53733000	RASL11B	+	ENSG00000128045.5	protein_coding	KNOWN	65997
ENSG00000184178.11	4	53739149	54232242	SCFD2	-	ENSG00000184178.11	protein_coding	KNOWN	152579
ENSG00000145216.11	4	54243810	54324957	FIP1L1	+	ENSG00000145216.11	protein_coding	KNOWN	81608
ENSG00000072201.9	4	54325468	54567572	LNX1	-	ENSG00000072201.9	protein_coding	KNOWN	84708
ENSG00000109220.6	4	54875956	54930857	CHIC2	-	ENSG00000109220.6	protein_coding	KNOWN	26511
ENSG00000180613.6	4	54965690	54968672	GSX2	+	ENSG00000180613.6	protein_coding	KNOWN	170825
ENSG00000134853.7	4	55095264	55164414	PDGFRA	+	ENSG00000134853.7	protein_coding	KNOWN	5156
ENSG00000157404.11	4	55524085	55606881	KIT	+	ENSG00000157404.11	protein_coding	KNOWN	3815
ENSG00000128052.8	4	55944644	55991756	KDR	-	ENSG00000128052.8	protein_coding	KNOWN	3791
ENSG00000128039.6	4	56212276	56239263	SRD5A3	+	ENSG00000128039.6	protein_coding	KNOWN	79644
ENSG00000134851.8	4	56262124	56319564	TMEM165	+	ENSG00000134851.8	protein_coding	KNOWN	55858
ENSG00000134852.10	4	56294070	56413278	CLOCK	-	ENSG00000134852.10	protein_coding	KNOWN	9575
ENSG00000163440.6	4	56422692	56458379	PDCL2	-	ENSG00000163440.6	protein_coding	KNOWN	132954
ENSG00000109255.7	4	56461396	56502865	NMU	-	ENSG00000109255.7	protein_coding	KNOWN	10874
ENSG00000090989.13	4	56719782	56771200	EXOC1	+	ENSG00000090989.13	protein_coding	KNOWN	55763
ENSG00000174799.6	4	56815037	56899529	CEP135	+	ENSG00000174799.6	protein_coding	KNOWN	9662
ENSG00000109265.8	4	57036361	57194791	KIAA1211	+	ENSG00000109265.8	protein_coding	KNOWN	57482
ENSG00000157426.9	4	57204456	57253666	AASDH	-	ENSG00000157426.9	protein_coding	KNOWN	132949
ENSG00000128059.4	4	57259528	57301781	PPAT	-	ENSG00000128059.4	protein_coding	KNOWN	5471
ENSG00000268171.1	4	57276682	57277131	AC068620.1	+	ENSG00000268171.1	protein_coding	NOVEL	NA
ENSG00000128050.4	4	57301907	57327534	PAICS	+	ENSG00000128050.4	protein_coding	KNOWN	10606
ENSG00000174780.11	4	57333081	57369273	SRP72	+	ENSG00000174780.11	protein_coding	KNOWN	6731
ENSG00000196503.2	4	57371509	57390614	ARL9	+	ENSG00000196503.2	protein_coding	KNOWN	132946
ENSG00000249693.2	4	57396775	57469673	THEGL	+	ENSG00000249693.2	protein_coding	KNOWN	100506564
ENSG00000171476.17	4	57514155	57548065	HOPX	-	ENSG00000171476.17	protein_coding	KNOWN	84525
ENSG00000128040.6	4	57676027	57687908	SPINK2	-	ENSG00000128040.6	protein_coding	KNOWN	6691
ENSG00000084093.11	4	57774075	57802010	REST	+	ENSG00000084093.11	protein_coding	KNOWN	5978
ENSG00000084092.6	4	57829536	57844805	NOA1	-	ENSG00000084092.6	protein_coding	KNOWN	84273
ENSG00000047315.10	4	57844990	57896565	POLR2B	+	ENSG00000047315.10	protein_coding	KNOWN	5431
ENSG00000163453.7	4	57896939	57976551	IGFBP7	-	ENSG00000163453.7	protein_coding	KNOWN	3490
ENSG00000150471.11	4	62066976	62944053	LPHN3	+	ENSG00000150471.11	protein_coding	KNOWN	23284
ENSG00000205678.3	4	65140975	65275186	TECRL	-	ENSG00000205678.3	protein_coding	KNOWN	253017
ENSG00000145242.9	4	66185281	66535678	EPHA5	-	ENSG00000145242.9	protein_coding	KNOWN	2044
ENSG00000145241.6	4	68337521	68411324	CENPC	-	ENSG00000145241.6	protein_coding	KNOWN	1060
ENSG00000035720.3	4	68424446	68473055	STAP1	+	ENSG00000035720.3	protein_coding	KNOWN	26228
ENSG00000033178.8	4	68478370	68566897	UBA6	-	ENSG00000033178.8	protein_coding	KNOWN	55236
ENSG00000109163.6	4	68605046	68620078	GNRHR	-	ENSG00000109163.6	protein_coding	KNOWN	2798
ENSG00000153802.7	4	68686594	68749750	TMPRSS11D	-	ENSG00000153802.7	protein_coding	KNOWN	9407
ENSG00000187054.10	4	68775103	68829858	TMPRSS11A	-	ENSG00000187054.10	protein_coding	KNOWN	339967
ENSG00000198092.5	4	68918916	68995598	TMPRSS11F	-	ENSG00000198092.5	protein_coding	KNOWN	389208
ENSG00000185873.7	4	69092371	69111438	TMPRSS11B	-	ENSG00000185873.7	protein_coding	KNOWN	132724
ENSG00000083896.8	4	69176105	69215807	YTHDC1	-	ENSG00000083896.8	protein_coding	KNOWN	91746
ENSG00000087128.5	4	69313167	69363322	TMPRSS11E	+	ENSG00000087128.5	protein_coding	KNOWN	28983
ENSG00000197888.2	4	69402902	69434245	UGT2B17	-	ENSG00000197888.2	protein_coding	KNOWN	7367
ENSG00000196620.4	4	69512348	69536346	UGT2B15	-	ENSG00000196620.4	protein_coding	KNOWN	7366
ENSG00000109181.7	4	69681711	69696914	UGT2B10	+	ENSG00000109181.7	protein_coding	KNOWN	7365
ENSG00000135220.6	4	69794181	69817509	UGT2A3	-	ENSG00000135220.6	protein_coding	KNOWN	79799
ENSG00000171234.9	4	69917081	69978705	UGT2B7	+	ENSG00000171234.9	protein_coding	KNOWN	7364
ENSG00000213759.4	4	70065669	70080190	UGT2B11	-	ENSG00000213759.4	protein_coding	KNOWN	10720
ENSG00000135226.12	4	70146217	70160768	UGT2B28	+	ENSG00000135226.12	protein_coding	KNOWN	54490
ENSG00000156096.8	4	70345883	70391732	UGT2B4	-	ENSG00000156096.8	protein_coding	KNOWN	7363
ENSG00000173610.7	4	70469260	70518965	UGT2A1	-	ENSG00000173610.7	protein_coding	KNOWN	10941
ENSG00000271271.1	4	70504617	70505360	UGT2A2	-	ENSG00000271271.1	protein_coding	KNOWN	574537
ENSG00000173597.4	4	70586880	70653679	SULT1B1	-	ENSG00000173597.4	protein_coding	KNOWN	27284
ENSG00000109193.6	4	70704166	70725870	SULT1E1	-	ENSG00000109193.6	protein_coding	KNOWN	6783
ENSG00000126545.9	4	70796799	70812289	CSN1S1	+	ENSG00000126545.9	protein_coding	KNOWN	1446
ENSG00000135222.6	4	70820974	70826725	CSN2	-	ENSG00000135222.6	protein_coding	KNOWN	1447
ENSG00000126549.5	4	70861647	70868172	STATH	+	ENSG00000126549.5	protein_coding	KNOWN	6779
ENSG00000205649.3	4	70894130	70902255	HTN3	+	ENSG00000205649.3	protein_coding	KNOWN	3347
ENSG00000126550.4	4	70916119	70924562	HTN1	+	ENSG00000126550.4	protein_coding	KNOWN	3346
ENSG00000187533.9	4	70999333	71042516	C4orf40	+	ENSG00000187533.9	protein_coding	KNOWN	401137
ENSG00000109205.12	4	71062213	71070293	ODAM	+	ENSG00000109205.12	protein_coding	KNOWN	54959
ENSG00000181617.5	4	71091788	71100969	FDCSP	+	ENSG00000181617.5	protein_coding	KNOWN	260436
ENSG00000171209.3	4	71108305	71117145	CSN3	+	ENSG00000171209.3	protein_coding	KNOWN	1448
ENSG00000145309.5	4	71200683	71202833	CABS1	+	ENSG00000145309.5	protein_coding	KNOWN	85438
ENSG00000109208.4	4	71226478	71232875	SMR3A	+	ENSG00000109208.4	protein_coding	KNOWN	26952
ENSG00000171201.6	4	71235810	71255961	SMR3B	+	ENSG00000171201.6	protein_coding	KNOWN	10879
ENSG00000171199.5	4	71263599	71275911	PROL1	+	ENSG00000171199.5	protein_coding	KNOWN	58503
ENSG00000171195.6	4	71296209	71348714	MUC7	+	ENSG00000171195.6	protein_coding	KNOWN	4589
ENSG00000187689.5	4	71384257	71398459	AMTN	+	ENSG00000187689.5	protein_coding	KNOWN	401138
ENSG00000178522.10	4	71457973	71473005	AMBN	+	ENSG00000178522.10	protein_coding	KNOWN	258
ENSG00000132464.7	4	71494461	71552533	ENAM	+	ENSG00000132464.7	protein_coding	KNOWN	10117
ENSG00000132465.6	4	71521258	71547534	IGJ	-	ENSG00000132465.6	protein_coding	KNOWN	3512
ENSG00000132467.2	4	71554196	71556267	UTP3	+	ENSG00000132467.2	protein_coding	KNOWN	57050
ENSG00000018189.8	4	71570518	71673032	RUFY3	+	ENSG00000018189.8	protein_coding	KNOWN	22902
ENSG00000132463.9	4	71681499	71705662	GRSF1	-	ENSG00000132463.9	protein_coding	KNOWN	2926
ENSG00000173542.4	4	71768043	71853885	MOB1B	+	ENSG00000173542.4	protein_coding	KNOWN	92597
ENSG00000156136.5	4	71858255	71896631	DCK	+	ENSG00000156136.5	protein_coding	KNOWN	1633
ENSG00000080493.9	4	72053003	72437804	SLC4A4	+	ENSG00000080493.9	protein_coding	KNOWN	8671
ENSG00000145321.8	4	72607410	72669758	GC	-	ENSG00000145321.8	protein_coding	KNOWN	2638
ENSG00000056291.13	4	72897521	73013784	NPFFR2	+	ENSG00000056291.13	protein_coding	KNOWN	10886
ENSG00000156140.4	4	73146686	73434516	ADAMTS3	-	ENSG00000156140.4	protein_coding	KNOWN	9508
ENSG00000163626.12	4	73921797	73935472	COX18	-	ENSG00000163626.12	protein_coding	KNOWN	285521
ENSG00000132466.13	4	73939093	74124515	ANKRD17	-	ENSG00000132466.13	protein_coding	KNOWN	26057
ENSG00000163631.12	4	74262831	74287129	ALB	+	ENSG00000163631.12	protein_coding	KNOWN	213
ENSG00000081051.3	4	74296855	74321891	AFP	+	ENSG00000081051.3	protein_coding	KNOWN	174
ENSG00000079557.3	4	74347400	74369691	AFM	+	ENSG00000079557.3	protein_coding	KNOWN	173
ENSG00000169435.9	4	74437267	74486348	RASSF6	-	ENSG00000169435.9	protein_coding	KNOWN	166824
ENSG00000169429.6	4	74606223	74609433	IL8	+	ENSG00000169429.6	protein_coding	KNOWN	3576
ENSG00000124875.5	4	74702214	74714781	CXCL6	+	ENSG00000124875.5	protein_coding	KNOWN	6372
ENSG00000109272.3	4	74718906	74719872	PF4V1	+	ENSG00000109272.3	protein_coding	KNOWN	5197
ENSG00000163739.4	4	74735110	74736959	CXCL1	+	ENSG00000163739.4	protein_coding	KNOWN	2919
ENSG00000163737.3	4	74846794	74847841	PF4	-	ENSG00000163737.3	protein_coding	KNOWN	5196
ENSG00000163736.3	4	74852755	74853914	PPBP	-	ENSG00000163736.3	protein_coding	KNOWN	5473
ENSG00000163735.6	4	74861359	74864496	CXCL5	-	ENSG00000163735.6	protein_coding	KNOWN	6374
ENSG00000163734.4	4	74902306	74904524	CXCL3	-	ENSG00000163734.4	protein_coding	KNOWN	2921
ENSG00000081041.8	4	74962752	74965010	CXCL2	-	ENSG00000081041.8	protein_coding	KNOWN	2920
ENSG00000163738.14	4	74979891	75168816	MTHFD2L	+	ENSG00000163738.14	protein_coding	KNOWN	441024
ENSG00000269559.1	4	75023327	75024085	AC093677.1	-	ENSG00000269559.1	protein_coding	KNOWN	NA
ENSG00000182585.5	4	75174190	75181024	EPGN	+	ENSG00000182585.5	protein_coding	KNOWN	255324
ENSG00000124882.3	4	75230860	75254468	EREG	+	ENSG00000124882.3	protein_coding	KNOWN	2069
ENSG00000109321.6	4	75310851	75320726	AREG	+	ENSG00000109321.6	protein_coding	KNOWN	374
ENSG00000205595.3	4	75480629	75490486	AREGB	+	ENSG00000205595.3	protein_coding	KNOWN	NA
ENSG00000174808.7	4	75669969	75719896	BTC	-	ENSG00000174808.7	protein_coding	KNOWN	685
ENSG00000169116.7	4	75858305	75975325	PARM1	+	ENSG00000169116.7	protein_coding	KNOWN	25849
ENSG00000163743.9	4	76404247	76439427	RCHY1	-	ENSG00000163743.9	protein_coding	KNOWN	25898
ENSG00000174796.8	4	76439156	76475683	THAP6	+	ENSG00000174796.8	protein_coding	KNOWN	152815
ENSG00000174792.6	4	76481258	76491095	C4orf26	+	ENSG00000174792.6	protein_coding	KNOWN	152816
ENSG00000138769.6	4	76503215	76555900	CDKL2	-	ENSG00000138769.6	protein_coding	KNOWN	8999
ENSG00000138757.10	4	76567966	76649709	G3BP2	-	ENSG00000138757.10	protein_coding	KNOWN	9908
ENSG00000138768.10	4	76649777	76735382	USO1	+	ENSG00000138768.10	protein_coding	KNOWN	8615
ENSG00000156194.13	4	76781020	76823724	PPEF2	-	ENSG00000156194.13	protein_coding	KNOWN	5470
ENSG00000138744.10	4	76831809	76862102	NAAA	-	ENSG00000138744.10	protein_coding	KNOWN	27163
ENSG00000198301.7	4	76862205	76912115	SDAD1	-	ENSG00000198301.7	protein_coding	KNOWN	55153
ENSG00000268788.1	4	76871951	76877290	AC110615.1	+	ENSG00000268788.1	protein_coding	NOVEL	NA
ENSG00000138755.5	4	76922428	76928641	CXCL9	-	ENSG00000138755.5	protein_coding	KNOWN	4283
